date,model,environment,model_variant_id,modelpath,position_goals,velocity_goals,goal_dist,distance_reward,goal_importance,eval/walltime,training/sps,training/walltime,training/entropy_loss,training/policy_loss,training/total_loss,training/v_loss,eval/episode_cumulative_final_goal_dist,eval/episode_cumulative_return,eval/episode_goal_dist,eval/episode_goals_reached,eval/episode_is_unhealthy,eval/episode_reward,eval/episode_weight,eval/avg_episode_length,eval/epoch_eval_time,eval/sps,state_below,low_level_modelpath,action_repeat,no_root_goals,low_level_goal_repeat,reward_type,task_information,eval/episode_obstacles_complete,eval/episode_task_complete,reward_movement,state,mid_level_modelpath,mid_level_goal_repeat,eval/episode_distance_to_end,eval/episode_maze_column,eval/episode_maze_row
08/23 16:04:50.987238,flat,gaps,0,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/gaps/flat/runs/0,,,,,,637.3836562633514,18720.295300741385,2645.3279008865356,0.047543835,-0.0042487886,3019.441,3019.3975,,,,,0.9766 ± 0.1513,580.4637 ± 160.2983,,196.6641 ± 65.8971,15.804931402206421,12148.1071390918,,,,,,dense,True,11.9375 ± 3.3184,0.0312 ± 0.1740,,,,,,,
08/23 16:07:53.808451,flat,gaps,1,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/gaps/flat/runs/1,,,,,,532.8396503925323,74758.72177060288,689.8976314067841,0.0070653376,-0.00567444,8268.706,8268.705,,,,,0.9375 ± 0.2421,556.6655 ± 225.0064,,157.8359 ± 62.1774,13.322667121887207,14411.52873095297,,,,,,dense,False,11.4688 ± 4.7069,0.0625 ± 0.2421,,,,,,,
08/23 16:08:57.927963,flat,gaps,2,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/gaps/flat/runs/2,,,,,,701.5003924369812,12942.585576318354,3864.8503692150116,-0.043072186,-0.0009570353,-0.04279979,0.0012294321,,,,,0.0469 ± 0.2114,-0.0469 ± 0.2114,,1464.5547 ± 175.5728,17.53578281402588,10949.040714990499,,,,,,sparse,True,0.0000 ± 0.0000,0.0000 ± 0.0000,,,,,,,
08/23 16:14:20.977163,flat,gaps,3,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/gaps/flat/runs/3,,,,,,636.1910336017609,18893.89110126558,2607.3092052936554,-0.030772867,-0.0030697533,-0.033318225,0.00052439334,,,,,0.0156 ± 0.1240,-0.0156 ± 0.1240,,1491.5547 ± 68.4918,15.520979166030884,12370.353567654416,,,,,,sparse,False,0.0000 ± 0.0000,0.0000 ± 0.0000,,,,,,,
08/23 16:30:26.552281,flat,hurdles,0,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/hurdles/flat/runs/0,,,,,,488.0485475063324,107555.44483493108,484.7825846672058,0.010198812,-0.004067738,929.78186,929.77576,,,,,0.5547 ± 0.4970,703.4703 ± 248.1740,,570.3672 ± 257.3593,12.12488842010498,15835.197269249395,,,,,,dense,True,7.5625 ± 2.7436,0.4453 ± 0.4970,,,,,,,
08/23 16:45:29.246827,flat,hurdles,1,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/hurdles/flat/runs/1,,,,,,530.4568560123444,21769.313900809848,2307.236414194107,0.0051046032,-0.003042928,1301.0298,1301.0277,,,,,0.2422 ± 0.4284,815.7398 ± 190.7082,,461.1875 ± 130.5608,13.1967453956604,14549.041770794262,,,,,,dense,False,8.8984 ± 2.1825,0.7578 ± 0.4284,,,,,,,
08/23 16:48:26.856003,flat,hurdles,2,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/hurdles/flat/runs/2,,,,,,484.47363543510437,108873.42905828916,478.2155210971832,-0.028926719,-0.003067119,0.02164093,0.05363477,,,,,0.3594 ± 0.4798,5.1406 ± 1.6805,,1125.3203 ± 543.5779,12.036588191986084,15951.364035851362,,,,,,sparse,True,5.5000 ± 1.3521,0.0000 ± 0.0000,,,,,,,
08/23 16:53:55.903832,flat,hurdles,3,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/hurdles/flat/runs/3,,,,,,392.2459990978241,55065.7245305137,936.6424987316132,-0.0147297755,-0.006284902,0.22670043,0.24771509,,,,,0.3750 ± 0.4841,6.6562 ± 2.1882,,1273.8984 ± 365.2182,9.455919027328491,20304.74239945393,,,,,,sparse,False,7.0547 ± 1.8804,0.0234 ± 0.1513,,,,,,,
08/21 14:58:42.077404,flat,maze,0,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/maze/flat/runs/0,,,,,,406.0100402832031,17196.503845821735,2923.0389552116394,0.00425608,0.0068956353,2018.471,2018.4598,,,,,0.0000 ± 0.0000,1242.9519 ± 29.0910,,501.9375 ± 49.8905,9.964273452758789,12845.893943683459,,,,,,dense,True,,0.9922 ± 0.0880,,,,,0.0078 ± 0.0880,1.0000 ± 0.0000,1.0078 ± 0.0880
08/21 14:58:42.079061,flat,maze,1,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/maze/flat/runs/1,,,,,,406.0544624328613,17187.734989783057,2910.8793675899506,-3.3112465e-05,-0.0020681524,519.14954,519.1516,,,,,0.0312 ± 0.1740,1132.1674 ± 96.5140,,848.9766 ± 104.0064,9.953087091445923,12860.331555825354,,,,,,dense,False,,0.7578 ± 0.4284,,,,,0.8125 ± 1.8103,1.1094 ± 0.3121,1.4531 ± 0.9342
08/21 14:58:42.082834,flat,maze,2,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/maze/flat/runs/2,,,,,,405.0881142616272,17215.193415952548,2912.8127648830414,-0.012128435,-0.0038910378,0.30222932,0.3182488,,,,,0.0234 ± 0.1513,21.6797 ± 1.8197,,567.8125 ± 78.0951,9.983651161193848,12820.960782116683,,,,,,sparse,True,,0.9609 ± 0.1937,,,,,0.3203 ± 1.8747,1.0547 ± 0.3603,1.0938 ± 0.5220
08/21 14:58:42.084903,flat,maze,3,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/maze/flat/runs/3,,,,,,404.08242630958557,17272.798893190233,2914.0544908046722,-0.038860492,-0.0036972775,-0.020864045,0.021693729,,,,,0.0156 ± 0.1240,9.2734 ± 2.9067,,991.4688 ± 83.7308,9.972862005233765,12834.831158079347,,,,,,sparse,False,,0.0000 ± 0.0000,,,,,12.8516 ± 2.9130,3.6484 ± 0.5941,3.7344 ± 1.3549
09/01 17:32:08.839150,hma2,gaps,0,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/gaps/hma2/runs/0,True,,relative,relative,,528.7285263538361,16202.814888813245,3101.010909795761,-0.33758193,-0.0068267416,5254.4106,5254.755,,,,,0.9766 ± 0.1513,514.2386 ± 188.6013,,178.3438 ± 55.9805,12.763920545578003,15042.400124193617,True,0.0,1.0,,1.0,dense,True,10.5000 ± 3.9151,0.0234 ± 0.1513,velocity,,,,,,
09/01 17:32:08.840888,hma2,gaps,1,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/gaps/hma2/runs/1,True,,relative,relative,,383.79155111312866,17776.6833291144,2791.301083803177,-0.30050564,-0.008561479,6697.4116,6697.7207,,,,,1.0000 ± 0.0000,78.4016 ± 41.2806,,70.5078 ± 26.1668,11.783311128616333,16294.23155378787,True,0.0,5.0,,5.0,dense,True,1.2266 ± 0.9537,0.0000 ± 0.0000,velocity,,,,,,
09/01 22:29:05.925276,hma2,gaps,10,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/gaps/hma2/runs/10,True,,relative,relative,discrete,498.44226002693176,16242.968660546434,3106.606142759323,-0.45328236,0.009331578,-0.44342613,0.00052460236,,,,,0.0156 ± 0.1240,-0.0156 ± 0.1240,,1484.5703 ± 123.4229,12.060386896133423,15919.887285005381,True,2.0,1.0,,1.0,sparse,True,0.0000 ± 0.0000,0.0000 ± 0.0000,velocity,,,,,,
09/01 22:29:05.794354,hma2,gaps,11,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/gaps/hma2/runs/11,True,,relative,relative,discrete,385.630779504776,17964.738691932398,2773.206461429596,-0.42168996,-0.00094641384,-0.37298757,0.049648795,,,,,0.2500 ± 0.4330,-0.2578 ± 0.4549,,1290.8594 ± 401.3785,11.522576093673706,16662.940512531277,True,2.0,5.0,,5.0,sparse,True,0.0000 ± 0.0000,0.0000 ± 0.0000,velocity,,,,,,
09/01 17:32:02.338932,hma2,gaps,2,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/gaps/hma2/runs/2,True,,relative,relative,,507.8688848018646,16305.930180539812,3075.145188331604,-0.38509563,-0.0009230969,-0.3858124,0.00020631256,,,,,0.0078 ± 0.0880,-0.0078 ± 0.0880,,1490.0547 ± 112.0780,12.033966541290283,15954.8391082209,True,0.0,1.0,,1.0,sparse,True,0.0000 ± 0.0000,0.0000 ± 0.0000,velocity,,,,,,
09/01 17:32:02.339592,hma2,gaps,3,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/gaps/hma2/runs/3,True,,relative,relative,,387.1822843551636,17545.596170169578,2829.5281159877777,-0.3578037,-0.0022442997,-0.31820667,0.04184134,,,,,0.1875 ± 0.3903,-0.1875 ± 0.3903,,1339.6875 ± 383.8501,12.095995426177979,15873.021875031167,True,0.0,5.0,,5.0,sparse,True,0.0000 ± 0.0000,0.0000 ± 0.0000,velocity,,,,,,
09/01 17:32:04.574638,hma2,gaps,4,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/gaps/hma2/runs/4,True,,relative,relative,continuous,559.3655335903168,42039.83470517097,1201.4239399433136,-0.38428724,-0.0037204768,6053.394,6053.782,,,,,0.8438 ± 0.3631,699.1407 ± 223.0759,,221.4297 ± 64.0241,13.814436912536621,13898.503515967395,True,1.0,1.0,,1.0,dense,True,14.2734 ± 4.7248,0.1797 ± 0.3839,velocity,,,,,,
09/01 17:31:47.624326,hma2,gaps,5,/nfs/nhome/live/aoomerjee/MSc-Thesis/hct/training/hyperparam_sweeps_v3/gaps/hma2/runs/5,True,,relative,relative,continuous,566.8931310176849,14296.071383041435,3452.2916629314423,-0.27821726,-0.0055806516,4058.3677,4058.6514,,,,,1.0000 ± 0.0000,68.8972 ± 35.1785,,75.3906 ± 27.1541,17.692559480667114,10852.01947235508,True,1.0,5.0,,5.0,dense,True,1.0234 ± 0.8702,0.0000 ± 0.0000,velocity,,,,,,
