Model Variant ID,position_goals,velocity_goals,reward_goal_reached,unhealthy_cost,air_probability,distance_reward,eval/walltime,training/sps,training/walltime,training/entropy_loss,training/policy_loss,training/total_loss,training/v_loss,eval/episode_goal_distance_relative_frame_normalised,eval/episode_goal_distance_root_normalised,eval/episode_goal_distance_world_frame,eval/episode_is_unhealthy,eval/episode_reward,eval/avg_episode_length,eval/epoch_eval_time,eval/sps,goal_root_pos_masked
0,True,,0,0,0.1,absolute,1324.3175065517426,100640.10160158401,3457.4540367126465,0.017608866,-0.00029088344,2352.0498,2352.0322,0.0194 ± 0.0187,0.0171 ± 0.0186,2.0162 ± 1.7581,0.1016 ± 0.3021,-3719.5837 ± 5526.6494,342.4297 ± 405.2806,8.291884183883667,15436.78097298854,
1,True,,0,0,0.1,relative,1314.3219623565674,100703.95269206133,3450.646903991699,0.005238834,-0.00033050525,1.3904978,1.3855895,0.0193 ± 0.0153,0.0153 ± 0.0156,1.7423 ± 1.6545,0.1328 ± 0.3394,21.8996 ± 8.4141,421.1172 ± 409.1003,8.429523706436157,15184.725075542372,
2,True,,0,0,0.3,absolute,784.8713231086731,159354.49448158313,2164.8030767440796,0.0120890075,-0.00049003254,1832.6237,1832.6123,0.0205 ± 0.0153,0.0177 ± 0.0153,2.1088 ± 1.4877,0.1172 ± 0.3216,-3786.4058 ± 4823.2656,470.3750 ± 446.7591,5.113702297210693,25030.788372216848,
3,True,,0,0,0.3,relative,773.4677488803864,160306.32563033534,2148.3561992645264,0.0034116022,3.1797215e-05,1.4238751,1.4204316,0.0213 ± 0.0157,0.0174 ± 0.0160,1.8950 ± 1.5740,0.1641 ± 0.3703,21.7724 ± 8.4466,507.8750 ± 425.7942,5.042078256607056,25386.357268904132,
4,True,,0,-1,0.1,absolute,775.258768081665,160287.49911494495,2152.7651998996735,0.018955773,-0.00015876017,2059.6719,2059.6533,0.0186 ± 0.0155,0.0160 ± 0.0155,1.9832 ± 1.5708,0.0469 ± 0.2114,-3560.1560 ± 4686.8491,361.6172 ± 415.8654,5.050705671310425,25342.99330231807,
5,True,,0,-1,0.1,relative,709.4465942382812,103416.24643506946,3334.5618476867676,0.0002759902,-0.00069613993,1.9776661,1.9780862,0.0181 ± 0.0163,0.0141 ± 0.0167,1.5762 ± 1.7543,0.0078 ± 0.0880,15.2454 ± 18.1207,430.9141 ± 375.3100,4.522061586380005,28305.67376294103,
6,True,,0,-1,0.3,absolute,700.3959126472473,104340.09924553383,3307.1814200878143,0.0116013,-0.0008315846,1990.8201,1990.8092,0.0197 ± 0.0144,0.0172 ± 0.0142,2.0110 ± 1.4700,0.0234 ± 0.1513,-3251.8792 ± 3558.9341,471.2969 ± 441.4478,4.590038776397705,27886.47465424144,
7,True,,0,-1,0.3,relative,875.6378860473633,259531.40701229483,1334.0750939846039,-0.00044556073,-0.0003046327,1.9388145,1.939565,0.0227 ± 0.0173,0.0187 ± 0.0178,2.0350 ± 1.8767,0.0000 ± 0.0000,13.6793 ± 18.4976,563.8906 ± 409.2715,5.707675218582153,22425.943155153203,
8,True,,50,0,0.1,absolute,781.8828604221344,159851.13804316247,2160.0834493637085,0.025426783,0.000120079945,2551.6833,2551.6577,0.0254 ± 0.0436,0.0234 ± 0.0438,2.7155 ± 3.5605,0.0781 ± 0.2684,-3805.4902 ± 6689.3452,296.8594 ± 390.1043,5.088656187057495,25153.988655306606,
9,True,,50,0,0.1,relative,872.7145595550537,103937.17378511402,3321.9843516349792,0.01943346,0.0017264192,49.409462,49.388298,0.0728 ± 0.1172,0.0715 ± 0.1176,6.6412 ± 9.6052,0.1875 ± 0.3903,50.5945 ± 32.6695,377.9375 ± 435.9052,5.606656074523926,22830.007458745145,
10,True,,50,0,0.3,absolute,876.413074016571,258025.68891650968,1342.1979913711548,0.019529022,-0.00050030276,2383.8337,2383.815,0.0262 ± 0.0394,0.0240 ± 0.0394,2.6301 ± 3.3117,0.1250 ± 0.3307,-4274.0039 ± 6075.3071,460.3906 ± 447.6099,5.717212438583374,22388.53311382569,
11,True,,50,0,0.3,relative,635.0369257926941,160293.0352379117,2147.163345813751,0.0044860467,0.0013479356,59.769485,59.763653,0.0792 ± 0.1136,0.0776 ± 0.1142,7.0321 ± 9.3794,0.1875 ± 0.3903,45.5415 ± 33.6740,470.0078 ± 453.8895,4.2049901485443115,30440.023752329405,
12,True,,50,-1,0.1,absolute,846.7359836101532,266607.1661153368,1300.8735501766205,0.020382218,-2.8724784e-05,2598.9133,2598.893,0.0195 ± 0.0165,0.0169 ± 0.0161,2.2500 ± 1.6097,0.0781 ± 0.2684,-3504.6189 ± 4354.0752,373.6797 ± 425.5652,5.52189564704895,23180.445300230665,
13,True,,50,-1,0.1,relative,774.7748055458069,160231.81999271584,2154.1792838573456,0.018508542,0.0016545494,49.479145,49.458977,0.0367 ± 0.0546,0.0350 ± 0.0548,3.6936 ± 4.5686,0.0234 ± 0.1513,29.8780 ± 69.0759,361.2109 ± 426.2880,5.040319442749023,25395.215810009842,
14,True,,50,-1,0.3,absolute,783.5678870677948,159855.7409761646,2151.442096233368,0.019924412,0.00018924994,2402.5415,2402.5212,0.0205 ± 0.0152,0.0179 ± 0.0148,2.1502 ± 1.4876,0.0234 ± 0.1513,-3499.7759 ± 4207.4888,464.8750 ± 450.5887,5.095948219299316,25117.994628603148,
15,True,,50,-1,0.3,relative,727.0822308063507,104365.76128946937,3297.471714735031,0.0077496553,0.0016384649,58.5398,58.530407,0.0401 ± 0.0576,0.0383 ± 0.0578,3.8979 ± 4.8241,0.0234 ± 0.1513,21.0820 ± 68.9550,488.9844 ± 451.3788,4.647076606750488,27544.19839218127,
16,True,,100,0,0.1,absolute,766.5161528587341,97133.0532455189,3526.7445051670074,0.025694814,0.00012863002,3074.3044,3074.2788,0.0498 ± 0.0839,0.0480 ± 0.0845,4.6481 ± 6.8629,0.1641 ± 0.3703,-5286.6299 ± 8728.1436,336.2031 ± 415.9674,4.760210752487183,26889.565747298213,
17,True,,100,0,0.1,relative,872.5939218997955,258838.0947705256,1337.8222155570984,0.01258646,0.0019343621,163.38391,163.36938,0.0834 ± 0.1251,0.0821 ± 0.1256,7.6401 ± 10.3163,0.1875 ± 0.3903,82.4081 ± 57.2850,394.8594 ± 438.9287,5.694132566452026,22479.279944083897,
18,True,,100,0,0.3,absolute,785.3932514190674,159726.18198556922,2155.4845633506775,0.017438147,-6.005993e-05,2912.4587,2912.4412,0.0586 ± 0.0896,0.0568 ± 0.0901,5.2737 ± 7.3178,0.1328 ± 0.3394,-5986.8057 ± 8720.9219,481.5156 ± 453.2245,5.112050771713257,25038.874947852284,
19,True,,100,0,0.3,relative,777.1698160171509,160067.983874086,2157.930114507675,-0.0012392349,0.0015340156,211.31694,211.31664,0.0818 ± 0.1166,0.0803 ± 0.1171,7.3983 ± 9.6019,0.1484 ± 0.3555,75.6441 ± 58.0559,472.5859 ± 448.4388,5.04617714881897,25365.736521944676,
20,True,,100,-1,0.1,absolute,696.8083958625793,106354.01710056675,3255.7411830425262,0.02850186,0.00085534295,2996.9446,2996.9153,0.0203 ± 0.0236,0.0180 ± 0.0234,2.4098 ± 2.0545,0.0547 ± 0.2274,-3717.7319 ± 5868.5439,343.1484 ± 419.4544,4.475283145904541,28601.54225484849,
21,True,,100,-1,0.1,relative,786.449462890625,159507.90956120484,2159.2418925762177,0.016038321,0.0016175152,162.70013,162.68248,0.0629 ± 0.1069,0.0615 ± 0.1074,5.9013 ± 8.8895,0.0078 ± 0.0880,57.3891 ± 102.6310,356.5625 ± 426.7390,5.117132663726807,25014.0085105352,
